horse,horseLabel,mother,motherLabel,father,fatherLabel,birthyear,deathyear,genderLabel
http://www.wikidata.org/entity/Q100144332,Gazal al Shaqab,,,,,1995,,male organism
http://www.wikidata.org/entity/Q1001792,Makybe Diva,http://www.wikidata.org/entity/Q14949904,Tugela,http://www.wikidata.org/entity/Q5263956,Desert King,1999,,female organism
http://www.wikidata.org/entity/Q100267969,Galactica,,,,,2012,,female organism
http://www.wikidata.org/entity/Q100272248,Ladyofthelake,,,,,2010,,female organism
http://www.wikidata.org/entity/Q100274623,Hegnus,http://www.wikidata.org/entity/Q100323838,Hespa,http://www.wikidata.org/entity/Q100292979,Magnus,2008,,male organism
http://www.wikidata.org/entity/Q100291898,Maracana,,,http://www.wikidata.org/entity/Q39070420,Conor Pass,1983,,female organism
http://www.wikidata.org/entity/Q100292979,Magnus,http://www.wikidata.org/entity/Q100291898,Maracana,http://www.wikidata.org/entity/Q100293720,Jape,1997,2010,male organism
http://www.wikidata.org/entity/Q100293720,Jape,,,http://www.wikidata.org/entity/Q636053,Alleged,1989,,male organism
http://www.wikidata.org/entity/Q100297589,Big Burn,http://www.wikidata.org/entity/Q4951054,Bowl of Flowers,http://www.wikidata.org/entity/Q7003920,Never Bend,1970,,male organism
http://www.wikidata.org/entity/Q100323726,Big Walt,,,http://www.wikidata.org/entity/Q100297589,Big Burn,1981,,male organism
http://www.wikidata.org/entity/Q100323838,Hespa,,,http://www.wikidata.org/entity/Q100323726,Big Walt,1994,,female organism
http://www.wikidata.org/entity/Q100354758,Grande,,,http://www.wikidata.org/entity/Q1546567,Ticino,1948,,male organism
http://www.wikidata.org/entity/Q100355207,Birkhahn,,,http://www.wikidata.org/entity/Q2640289,Alchimist,1945,,male organism
http://www.wikidata.org/entity/Q100355482,Zigeunerkind,,,http://www.wikidata.org/entity/Q100355207,Birkhahn,1954,,female organism
http://www.wikidata.org/entity/Q100356190,Le Loup Garou,,,http://www.wikidata.org/entity/Q17361607,Prince Bio,1956,,male organism
http://www.wikidata.org/entity/Q100357151,Želatina,,,http://www.wikidata.org/entity/Q100356190,Le Loup Garou,1968,,female organism
http://www.wikidata.org/entity/Q100388939,Written Tycoon,,,,,2002,,male organism
http://www.wikidata.org/entity/Q100450920,Luminous Warrior,,,,,,,male organism
http://www.wikidata.org/entity/Q100450924,Kurino Gaudi,,,,,,,male organism
http://www.wikidata.org/entity/Q100450928,Centelleo,,,,,,,female organism
http://www.wikidata.org/entity/Q100450932,Eterna Minoru,,,,,,,female organism
http://www.wikidata.org/entity/Q100450939,Centurion,,,,,,,male organism
http://www.wikidata.org/entity/Q100450961,Kluger,,,http://www.wikidata.org/entity/Q11297858,King Kamehameha,2012,,male organism
http://www.wikidata.org/entity/Q100450968,Tagano Espresso,,,http://www.wikidata.org/entity/Q11334537,Black Tide,2012,,male organism
http://www.wikidata.org/entity/Q100450971,Black Moon,,,,,,,male organism
http://www.wikidata.org/entity/Q100450973,Stella Velocie,,,http://www.wikidata.org/entity/Q2879150,Bago,2018,,male organism
http://www.wikidata.org/entity/Q100450976,Bell Lap,,,,,,,male organism
http://www.wikidata.org/entity/Q100497569,Trébol,,,,,2007,,
http://www.wikidata.org/entity/Q100497633,Zacon Gio,,,,,2015,,
http://www.wikidata.org/entity/Q1005232,Rock of Gibraltar,,,http://www.wikidata.org/entity/Q1005468,Danehill,1999,2022,male organism
http://www.wikidata.org/entity/Q1005468,Danehill,http://www.wikidata.org/entity/Q61987321,Razyana,http://www.wikidata.org/entity/Q1104509,Danzig,1986,2003,male organism
http://www.wikidata.org/entity/Q100791596,Probabeel,,,,,2016,,female organism
http://www.wikidata.org/entity/Q101003005,Chapter Seven,,,,,2008,,
http://www.wikidata.org/entity/Q101019926,Diamanten,,,,,,,
http://www.wikidata.org/entity/Q101070082,ਮੈਥਿਲਡੇ ਟ੍ਰੋਜਬੋਰਗ,,,,,2004,,
http://www.wikidata.org/entity/Q101192002,Oe Raijin,,,,,,,male organism
http://www.wikidata.org/entity/Q101192043,Musee Sultan,,,,,,,male organism
http://www.wikidata.org/entity/Q101192189,Omega Heart Rock,,,,,,,female organism
http://www.wikidata.org/entity/Q101192470,Daring Bird,http://www.wikidata.org/entity/Q11319948,Daring Heart,http://www.wikidata.org/entity/Q11297858,King Kamehameha,2011,,female organism
http://www.wikidata.org/entity/Q101192578,Aristoteles,,,http://www.wikidata.org/entity/Q11290535,Epiphaneia,2017,,male organism
http://www.wikidata.org/entity/Q101192716,King of Koji,,,http://www.wikidata.org/entity/Q11350999,Lord Kanaloa,2016,,male organism
http://www.wikidata.org/entity/Q101193776,メジロタイヨウ,,,,,,,male organism
http://www.wikidata.org/entity/Q101193871,Fashionista,,,,,,,female organism
http://www.wikidata.org/entity/Q101193896,Sabuno Junior,,,,,,,male organism
http://www.wikidata.org/entity/Q101193911,クリヒデ,,,,,,,female organism
http://www.wikidata.org/entity/Q101193913,セルローズ,,,,,,,female organism
http://www.wikidata.org/entity/Q101193915,ミツドフアーム,,,,,,,male organism
http://www.wikidata.org/entity/Q101193916,ハタカゼ,,,,,,,male organism
http://www.wikidata.org/entity/Q101193918,ニユーフオード,,,,,,,male organism
http://www.wikidata.org/entity/Q101193920,スノージェット,,,,,,,male organism
http://www.wikidata.org/entity/Q101246741,Alcohol Free,,,,,,,female organism
http://www.wikidata.org/entity/Q101246743,Essential Quality,,,,,,,male organism
http://www.wikidata.org/entity/Q1012807,Lammtarra,http://www.wikidata.org/entity/Q7548189,Snow Bride,http://www.wikidata.org/entity/Q26798,Nijinsky,1992,2014,male organism
http://www.wikidata.org/entity/Q101599315,Gamine,,,,,,,female organism
http://www.wikidata.org/entity/Q1016696,Burmese,,,,,1962,1990,female organism
http://www.wikidata.org/entity/Q101781241,Mondreise,,,,,,,male organism
