horse,horseLabel,mother,motherLabel,father,fatherLabel,birthyear,deathyear,genderLabel
http://www.wikidata.org/entity/Q108857709,Debutante,,,,,1855,,female organism
http://www.wikidata.org/entity/Q108857709,Debutante,,,,,1860,,female organism
http://www.wikidata.org/entity/Q108857709,Debutante,,,,,1867,,female organism
http://www.wikidata.org/entity/Q113124670,Maestoso,,,,,1773,,male organism
http://www.wikidata.org/entity/Q113124670,Maestoso,,,,,1819,,male organism
http://www.wikidata.org/entity/Q113152007,Siglavy,,,,,1810,,male organism
http://www.wikidata.org/entity/Q113152007,Siglavy,,,,,1811,,male organism
http://www.wikidata.org/entity/Q115684574,California Spangle,,,http://www.wikidata.org/entity/Q5755028,High Chaparral,2018,,male organism
http://www.wikidata.org/entity/Q115684574,California Spangle,,,http://www.wikidata.org/entity/Q7602440,Starspangledbanner,2018,,male organism
http://www.wikidata.org/entity/Q115786536,Jean-le-Blanc,,,http://www.wikidata.org/entity/Q116057589,Gallipoly,1823,1856,male organism
http://www.wikidata.org/entity/Q115786536,Jean-le-Blanc,,,http://www.wikidata.org/entity/Q116057589,Gallipoly,1824,1856,male organism
http://www.wikidata.org/entity/Q116113940,Royal mare,,,,,1680,,female organism
http://www.wikidata.org/entity/Q116113940,Royal mare,,,,,1685,,female organism
http://www.wikidata.org/entity/Q12003911,Sugarcane Hanover,,,,,1983,2003,male organism
http://www.wikidata.org/entity/Q12003911,Sugarcane Hanover,,,,,1983,2009,male organism
http://www.wikidata.org/entity/Q120490073,Czar of Livingstone Valley,,,http://www.wikidata.org/entity/Q120490053,Silver Shadows Kaiser,1993,2008,male organism
http://www.wikidata.org/entity/Q120490073,Czar of Livingstone Valley,,,http://www.wikidata.org/entity/Q120490053,Silver Shadows Kaiser,1993,2009,male organism
http://www.wikidata.org/entity/Q120721700,Shagya,,,,,1830,,male organism
http://www.wikidata.org/entity/Q120721700,Shagya,,,,,1832,,male organism
http://www.wikidata.org/entity/Q120835109,Siglavy I,http://www.wikidata.org/entity/Q120914565,1 Arabor,http://www.wikidata.org/entity/Q113152007,Siglavy,1825,,male organism
http://www.wikidata.org/entity/Q120835109,Siglavy I,http://www.wikidata.org/entity/Q120914565,1 Arabor,http://www.wikidata.org/entity/Q113152007,Siglavy,1826,,male organism
http://www.wikidata.org/entity/Q120913006,Gidran Senior,http://www.wikidata.org/entity/Q120913031,Tifle,,,1815,,male organism
http://www.wikidata.org/entity/Q120913006,Gidran Senior,http://www.wikidata.org/entity/Q120913031,Tifle,,,1817,,male organism
http://www.wikidata.org/entity/Q120914478,Varja,,,,,1800,,female organism
http://www.wikidata.org/entity/Q120914478,Varja,,,,,1810,,female organism
http://www.wikidata.org/entity/Q18177028,Absent,http://www.wikidata.org/entity/Q109528313,Baccarat,http://www.wikidata.org/entity/Q109500053,Arab,1952,1974,male organism
http://www.wikidata.org/entity/Q18177028,Absent,http://www.wikidata.org/entity/Q109528313,Baccarat,http://www.wikidata.org/entity/Q109500053,Arab,1952,1975,male organism
http://www.wikidata.org/entity/Q6410495,Kind,,,http://www.wikidata.org/entity/Q1005468,Danehill,2001,,female organism
http://www.wikidata.org/entity/Q6410495,Kind,,,http://www.wikidata.org/entity/Q3417786,Rainbow Quest,2001,,female organism
http://www.wikidata.org/entity/Q92865262,Apple's Jade,,,,,,,female organism
http://www.wikidata.org/entity/Q92865262,Apple's Jade,,,,,,,male organism
http://www.wikidata.org/entity/Q96142797,Lavater,http://www.wikidata.org/entity/Q108857748,Candelaria,http://www.wikidata.org/entity/Q96483402,Crocus,1867,1887,male organism
http://www.wikidata.org/entity/Q96142797,Lavater,http://www.wikidata.org/entity/Q108857748,Candelaria,http://www.wikidata.org/entity/Q106649923,Y.,1867,1887,male organism
http://www.wikidata.org/entity/Q48857,Skowronek,,,,,1908,1930,male organism
http://www.wikidata.org/entity/Q48857,Skowronek,,,,,1909,1930,male organism
